City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,changling,44.2653,124.0005,-10.99,85,5,5.81,CN,1701560471
323,decatur,39.8403,-88.9548,6.04,87,100,1.54,US,1701560472
324,sabang,5.8933,95.3214,27.15,78,98,5.34,ID,1701560326
325,tutong,4.8,114.65,25.05,91,99,1.98,BN,1701560472
326,anadyr,64.75,177.4833,-19.72,83,100,2.68,RU,1701560474
327,fort mcmurray,56.7268,-111.381,-7.23,86,0,1.54,CA,1701560214
328,vernon,50.2581,-119.2691,3.2,81,100,1.03,CA,1701560411
329,siwa oasis,29.2041,25.5195,16.59,57,91,2.53,EG,1701560475
330,niafunke,15.9322,-3.9906,27.43,15,46,4.89,ML,1701560476
331,kuta,-8.7233,115.1723,26.97,83,75,2.68,ID,1701560476
332,yamada,39.4667,141.95,6.34,64,62,1.33,JP,1701560476
333,nogliki,51.8333,143.1667,-17.03,96,49,2.24,RU,1701560326
334,essaouira,31.5125,-9.77,15.72,72,20,6.69,MA,1701560477
335,dongning,44.0622,131.1207,-9.52,91,70,1.73,CN,1701560478
336,odienne,9.51,-7.5692,26.48,52,32,1.6,CI,1701560478
337,ixtapa,20.7,-105.2,26.24,73,100,3.09,MX,1701560479
338,tabuk,17.4189,121.4443,24.81,83,54,1.59,PH,1701560479
339,el granada,37.5027,-122.4694,16.9,85,100,4.12,US,1701560480
340,katsuura,35.1333,140.3,13.24,62,13,5.48,JP,1701560481
341,burutu,5.3509,5.5076,25.85,87,93,1.95,NG,1701560481
342,katsuren-haebaru,26.3369,127.8719,19.43,67,40,2.57,JP,1701560481
343,bogale,16.2833,95.4,22.49,89,98,3.2,MM,1701560482
344,winnemucca,40.973,-117.7357,8.03,49,100,7.72,US,1701560482
345,pisco,-13.7,-76.2167,21.03,78,0,8.75,PE,1701560483
346,portland,45.5234,-122.6762,10.02,91,100,2.24,US,1701559632
347,acapulco de juarez,16.8634,-99.8901,29.9,62,75,2.57,MX,1701560295
348,taourirt,34.4073,-2.8973,10.91,67,20,2.05,MA,1701560484
349,cao lanh,10.45,105.6333,24.97,91,100,1.36,VN,1701560484
350,borisoglebskiy,57.2586,39.1508,-14.38,99,89,1.72,RU,1701560485
351,palmas,-10.2128,-48.3603,28.93,74,20,2.06,BR,1701559994
352,ar rass,25.8694,43.4973,16.47,44,0,4.62,SA,1701560485
353,al mishkhab,31.8042,44.4911,15.26,46,0,3.8,IQ,1701560486
354,yoichi,43.2039,140.7703,2.83,72,84,3.2,JP,1701560486
355,chonchi,-42.6128,-73.8092,10.56,92,38,1.38,CL,1701560487
356,conde,-7.2597,-34.9075,26.7,78,0,3.6,BR,1701560324
357,aoulef,26.9667,1.0833,19.73,13,55,2.87,DZ,1701560488
358,umm qasr,30.0405,47.9168,11.93,43,0,3.98,IQ,1701560489
359,santa sylvina,-27.8326,-61.1375,27.81,76,36,5.69,AR,1701560489
360,plettenberg bay,-34.0527,23.3716,14.66,89,5,1.58,ZA,1701560489
